stage,policy,threshold,mae,n_state,n_relevant,n_exact
pre,none,5,37.43277359008789,1324,,
pre,none,10,37.43277359008789,1324,,
pre,none,20,37.43277359008789,1324,,
pre,relevant,5,37.858253479003906,56,1268.0,
pre,relevant,10,37.3881950378418,198,1126.0,
pre,relevant,20,37.50503921508789,234,1090.0,
pre,exact,5,37.4763069152832,1316,,8.0
pre,exact,10,37.43277359008789,1324,,
pre,exact,20,37.43277359008789,1324,,
pre,backoff,5,37.901790618896484,56,1260.0,8.0
pre,backoff,10,37.3881950378418,198,1126.0,
pre,backoff,20,37.50503921508789,234,1090.0,
post,none,5,35.45378494262695,1324,,
post,none,10,35.45378494262695,1324,,
post,none,20,35.45378494262695,1324,,
post,relevant,5,35.76942443847656,264,1060.0,
post,relevant,10,35.3922233581543,408,916.0,
post,relevant,20,35.32211685180664,514,810.0,
post,exact,5,35.45378494262695,1324,,
post,exact,10,35.45378494262695,1324,,
post,exact,20,35.45378494262695,1324,,
post,backoff,5,35.76942443847656,264,1060.0,
post,backoff,10,35.3922233581543,408,916.0,
post,backoff,20,35.32211685180664,514,810.0,
