stage,policy,threshold,mae,n_state,n_relevant
pre,none,5,20.78434944152832,1324,
pre,none,10,20.78434944152832,1324,
pre,none,20,20.78434944152832,1324,
pre,relevant,5,19.623477935791016,462,862.0
pre,relevant,10,19.703824996948242,614,710.0
pre,relevant,20,19.929964065551758,887,437.0
pre,exact,5,20.78434944152832,1324,
pre,exact,10,20.78434944152832,1324,
pre,exact,20,20.78434944152832,1324,
pre,backoff,5,19.623477935791016,462,862.0
pre,backoff,10,19.703824996948242,614,710.0
pre,backoff,20,19.929964065551758,887,437.0
post,none,5,18.579809188842773,1324,
post,none,10,18.579809188842773,1324,
post,none,20,18.579809188842773,1324,
post,relevant,5,18.128780364990234,828,496.0
post,relevant,10,18.37948226928711,978,346.0
post,relevant,20,18.50634002685547,1116,208.0
post,exact,5,18.579809188842773,1324,
post,exact,10,18.579809188842773,1324,
post,exact,20,18.579809188842773,1324,
post,backoff,5,18.128780364990234,828,496.0
post,backoff,10,18.37948226928711,978,346.0
post,backoff,20,18.50634002685547,1116,208.0
