obs_days,mode,branch,future_lead_days,rho
1,pooled,0,1,1.8141025304794312
1,pooled,0,3,3.1403701305389404
1,pooled,0,5,4.4115309715271
1,pooled,1,1,1.8141025304794312
1,pooled,1,3,3.1403701305389404
1,pooled,1,5,4.4115309715271
1,pooled,2,1,1.8141025304794312
1,pooled,2,3,3.1403701305389404
1,pooled,2,5,4.4115309715271
1,pooled,3,1,1.8141025304794312
1,pooled,3,3,3.1403701305389404
1,pooled,3,5,4.4115309715271
2,pooled,0,1,1.3063812255859375
2,pooled,0,3,2.007932662963867
2,pooled,0,5,2.7264368534088135
2,pooled,1,1,1.3063812255859375
2,pooled,1,3,2.007932662963867
2,pooled,1,5,2.7264368534088135
2,pooled,2,1,1.3063812255859375
2,pooled,2,3,2.007932662963867
2,pooled,2,5,2.7264368534088135
2,pooled,3,1,1.3063812255859375
2,pooled,3,3,2.007932662963867
2,pooled,3,5,2.7264368534088135
3,branch,0,1,1.3025240898132324
3,branch,0,3,1.9373301267623901
3,branch,0,5,2.5947248935699463
3,branch,1,1,1.3706156015396118
3,branch,1,3,2.1120221614837646
3,branch,1,5,2.9223079681396484
3,branch,2,1,1.3329581022262573
3,branch,2,3,1.9717469215393066
3,branch,2,5,2.623030185699463
3,branch,3,1,1.326957106590271
3,branch,3,3,1.9681651592254639
3,branch,3,5,2.528554677963257
5,branch,0,1,1.2235605716705322
5,branch,0,3,1.653822422027588
5,branch,0,5,2.074554204940796
5,branch,1,1,1.2173936367034912
5,branch,1,3,1.7142809629440308
5,branch,1,5,2.202176809310913
5,branch,2,1,1.159124493598938
5,branch,2,3,1.5780309438705444
5,branch,2,5,1.9924635887145996
5,branch,3,1,1.2173290252685547
5,branch,3,3,1.6099269390106201
5,branch,3,5,2.0324459075927734
8,branch,0,1,1.1279398202896118
8,branch,0,3,1.387001633644104
8,branch,0,5,1.6317784786224365
8,branch,1,1,1.1591328382492065
8,branch,1,3,1.449548363685608
8,branch,1,5,1.7595436573028564
8,branch,2,1,1.1406601667404175
8,branch,2,3,1.4304325580596924
8,branch,2,5,1.7137033939361572
8,branch,3,1,1.1484160423278809
8,branch,3,3,1.4358829259872437
8,branch,3,5,1.7010947465896606
10,branch,0,1,1.10930335521698
10,branch,0,3,1.3299213647842407
10,branch,0,5,1.5486564636230469
10,branch,1,1,1.118647813796997
10,branch,1,3,1.367295742034912
10,branch,1,5,1.6082836389541626
10,branch,2,1,1.131407618522644
10,branch,2,3,1.3670680522918701
10,branch,2,5,1.6340980529785156
10,branch,3,1,1.1188054084777832
10,branch,3,3,1.3347513675689697
10,branch,3,5,1.557388186454773
