stage,obs_days,mode,oof_inv_mae,raw_cov80,cal_mult80,cal_cov80,raw_cov50,cal_mult50,cal_cov50
D9,0,reanchor,19.877233671040315,0.761742989306891,1.1068702340126038,0.8000401148286972,0.4852389966278472,1.071428582072258,0.5006706697922804
D10,0,reanchor,19.712554621959843,0.7544228815683585,1.1200000047683716,0.8001622712700696,0.4842214277233209,1.0697674453258514,0.5000197891792768
D11,0,reanchor,20.020739867292757,0.745805894719256,1.125,0.8008130647249642,0.475023319921478,1.0833333432674408,0.5000556893647236
D12+0d,0,none,18.946363542351477,0.8002284282661558,1.0,0.8002284282661558,0.5105224375506595,1.0,0.5105224375506595
D12+1d,1,pooled,18.933495602906675,0.7890283800072007,1.025308579206467,0.8000015653616768,0.4974328068500227,1.00524839758873,0.5
D12+2d,2,pooled,18.817532331172924,0.7916910083290214,1.0205603539943695,0.8000033382851229,0.4956018093505366,1.0096020251512527,0.5
D12+3d,3,pooled,18.68414036111264,0.7900033965569638,1.0243941247463226,0.8000053629846797,0.4930549348397361,1.0136039108037949,0.5
D12+5d,5,branch,17.887684394052236,0.7882591936660068,1.0275544226169586,0.8,0.4911032399208251,1.0230548977851868,0.5
D12+8d,8,branch,13.650849978268344,0.7872030821253361,1.0335013568401337,0.8000083150863383,0.4865572770863937,1.0332309305667875,0.5
D12+10d,10,branch,10.68613672772692,0.7883774657899414,1.0289884060621262,0.8,0.4952905633552514,1.0113874822854996,0.5
