obs_days,mode,branch,future_lead_days,rho
1,pooled,0,1,0.8845040202140808
1,pooled,0,3,1.334126353263855
1,pooled,0,5,1.3047949075698853
1,pooled,1,1,0.8845040202140808
1,pooled,1,3,1.334126353263855
1,pooled,1,5,1.3047949075698853
1,pooled,2,1,0.8845040202140808
1,pooled,2,3,1.334126353263855
1,pooled,2,5,1.3047949075698853
1,pooled,3,1,0.8845040202140808
1,pooled,3,3,1.334126353263855
1,pooled,3,5,1.3047949075698853
2,pooled,0,1,1.1317870616912842
2,pooled,0,3,1.290611743927002
2,pooled,0,5,1.1113307476043701
2,pooled,1,1,1.1317870616912842
2,pooled,1,3,1.290611743927002
2,pooled,1,5,1.1113307476043701
2,pooled,2,1,1.1317870616912842
2,pooled,2,3,1.290611743927002
2,pooled,2,5,1.1113307476043701
2,pooled,3,1,1.1317870616912842
2,pooled,3,3,1.290611743927002
2,pooled,3,5,1.1113307476043701
3,pooled,0,1,1.0429319143295288
3,pooled,0,3,1.0191190242767334
3,pooled,0,5,0.8930390477180481
3,pooled,1,1,1.0429319143295288
3,pooled,1,3,1.0191190242767334
3,pooled,1,5,0.8930390477180481
3,pooled,2,1,1.0429319143295288
3,pooled,2,3,1.0191190242767334
3,pooled,2,5,0.8930390477180481
3,pooled,3,1,1.0429319143295288
3,pooled,3,3,1.0191190242767334
3,pooled,3,5,0.8930390477180481
5,branch,0,1,0.8327043056488037
5,branch,0,3,0.7431612014770508
5,branch,0,5,0.6262911558151245
5,branch,1,1,1.0698866844177246
5,branch,1,3,1.142214059829712
5,branch,1,5,1.1478819847106934
5,branch,2,1,1.0427746772766113
5,branch,2,3,1.102662444114685
5,branch,2,5,1.0874578952789307
5,branch,3,1,1.009266972541809
5,branch,3,3,0.8415563702583313
5,branch,3,5,0.7153465747833252
8,branch,0,1,0.9943873286247253
8,branch,0,3,1.0564360618591309
8,branch,0,5,1.1143769025802612
8,branch,1,1,1.0286494493484497
8,branch,1,3,1.113589882850647
8,branch,1,5,1.1897060871124268
8,branch,2,1,1.0203486680984497
8,branch,2,3,1.1167625188827515
8,branch,2,5,1.2163209915161133
8,branch,3,1,0.9643591046333313
8,branch,3,3,0.9956505298614502
8,branch,3,5,0.9971513748168945
10,branch,0,1,1.0357794761657715
10,branch,0,3,1.152824878692627
10,branch,0,5,1.2435235977172852
10,branch,1,1,1.0729448795318604
10,branch,1,3,1.2060387134552002
10,branch,1,5,1.3672969341278076
10,branch,2,1,1.059083104133606
10,branch,2,3,1.1924831867218018
10,branch,2,5,1.3286761045455933
10,branch,3,1,0.9850563406944275
10,branch,3,3,1.0545588731765747
10,branch,3,5,1.0702242851257324
