inventory,price,n_prices
9720,305,1
9721,305,1
9727,304,1
9728,303,1
9729,303,1
9730,303,1
9733,302,1
9734,302,1
9738,301,1
9740,300,1
9745,299,1
9746,299,1
9747,298,1
9749,298,1
9750,297,1
9752,297,1
9753,297,1
9755,296,1
9756,296,1
9760,295,1
9762,294,1
9764,294,1
9767,293,1
9769,292,1
9771,292,1
9772,291,1
9776,290,1
9778,289,1
9781,289,1
9785,287,1
9787,287,1
9788,287,1
9794,285,1
9795,284,1
9798,284,1
9801,283,1
9803,282,1
9805,281,1
9808,280,1
9810,280,1
9812,279,1
9813,279,1
9814,279,1
9815,278,1
9817,278,1
9819,277,1
9821,276,1
9822,276,1
9824,275,1
9825,275,1
9826,275,1
9828,274,1
9829,274,1
9830,273,1
9831,273,1
9832,273,1
9833,272,1
9834,272,1
9835,272,1
9836,271,1
9837,271,1
9838,271,1
9839,270,1
9840,270,1
9842,269,1
9843,269,1
9844,269,1
9845,268,1
9846,268,1
9847,268,1
9848,267,1
9849,267,1
9850,266,1
9851,266,1
9852,266,1
9853,265,1
9854,265,1
9855,265,1
9856,264,1
9857,264,1
9858,264,1
9859,263,1
9860,263,1
9861,262,1
9862,262,1
9863,262,1
9864,261,1
9865,261,1
9866,261,1
9867,260,1
9868,260,1
9869,259,1
9870,259,1
9871,259,1
9872,258,1
9873,258,1
9874,258,1
9875,257,1
9876,257,1
9877,256,1
9878,256,1
9879,256,1
9880,255,1
9881,255,1
9882,254,1
9883,254,1
9884,254,1
9885,253,1
9886,253,1
9887,252,1
9888,252,1
9889,252,1
9890,251,1
9891,251,1
9892,250,1
9893,250,1
9894,249,1
9895,249,1
9896,249,1
9897,248,1
9898,248,1
9899,247,1
9900,247,1
9901,246,1
9902,246,1
9903,246,1
9904,245,1
9905,245,1
9906,244,1
9907,244,1
9908,243,1
9909,243,1
9910,242,1
9911,242,1
9912,242,1
9913,241,1
9914,241,1
9915,240,1
9916,240,1
9917,239,1
9918,239,1
9919,238,1
9920,238,1
9921,237,1
9922,237,1
9923,236,1
9924,236,1
9925,235,1
9926,235,1
9927,234,1
9928,234,1
9929,233,1
9930,233,1
9931,232,1
9932,232,1
9933,231,1
9934,231,1
9935,230,1
9936,230,1
9937,229,1
9938,228,1
9939,228,1
9940,227,1
9941,227,1
9942,226,1
9943,226,1
9944,225,1
9945,224,1
9946,224,1
9947,223,1
9948,223,1
9949,222,1
9950,221,1
9951,221,1
9952,220,1
9953,220,1
9954,219,1
9955,218,1
9956,218,1
9957,217,1
9958,216,1
9959,216,1
9960,215,1
9961,214,1
9962,214,1
9963,213,1
9964,212,1
9965,211,1
9966,211,1
9967,210,1
9968,209,1
9969,208,1
9970,208,1
9971,207,1
9972,206,1
9973,205,1
9974,204,1
9975,203,1
9976,203,1
9977,202,1
9978,201,1
9979,200,1
9980,199,1
9981,198,1
9982,197,1
9983,196,1
9984,195,1
9985,194,1
9986,193,1
9987,191,1
9988,190,1
9989,189,1
9990,187,1
9991,186,1
9992,185,1
9993,183,1
9994,181,1
9995,179,1
9996,177,1
9997,175,1
9998,172,1
9999,169,1
10000,160,1
10001,158,1
10002,156,1
10003,154,1
10004,152,1
10005,150,1
10006,147,1
10007,145,1
10008,143,1
10009,141,1
10010,139,1
10011,137,1
10012,135,1
10013,133,1
10014,131,1
10015,129,1
10016,126,1
10017,124,1
10018,122,1
10019,120,1
10020,118,1
10021,116,1
10022,114,1
10023,112,1
10024,110,1
10025,108,1
10026,105,1
10027,103,1
10028,101,1
10029,99,1
10030,97,1
10031,95,1
10032,93,1
10033,91,1
10034,89,1
10035,87,1
10036,84,1
10037,82,1
10038,80,1
10039,78,1
10040,76,1
10041,74,1
10042,72,1
10043,70,1
10044,68,1
10045,66,1
10046,63,1
10047,61,1
10048,59,1
10049,57,1
10050,55,1
10051,53,1
10052,51,1
10053,49,1
10054,47,1
10055,45,1
10056,42,1
10057,40,1
10058,38,1
10059,36,1
10060,34,1
10061,32,1
10062,30,1
10063,28,1
10064,26,1
10065,24,1
10066,22,1
10067,19,1
10068,17,1
10069,15,1
10070,13,1
10071,11,1
10072,9,1
10073,7,1
10074,5,1
10075,3,1
10076,1,1
10077,1,1
