obs_days,branch,n,q01,q05,q50,q95,q99
1,0,278,-12.0,-6.1499996,0.0,7.0,11.460022
1,1,128,-6.0,-6.0,0.0,9.650002,13.0
1,2,61,-6.0,-6.0,0.0,10.0,12.400002
1,3,195,-12.360001,-12.0,0.0,6.300003,9.0
2,0,278,-24.0,-12.0,0.0,16.0,25.460022
2,1,128,-12.0,-10.950001,0.0,20.0,26.730003
2,2,61,-12.0,-9.0,0.0,17.0,22.200012
2,3,195,-24.720001,-20.3,0.0,11.300003,18.179993
3,0,278,-36.73,-18.5,0.0,25.5,39.73001
3,1,128,-24.73,-16.85,0.0,28.650002,35.840027
3,2,61,-26.6,-19.0,0.0,19.0,26.600006
3,3,195,-31.300001,-23.3,0.0,23.0,40.23999
5,0,278,-62.96,-34.5,0.0,41.799988,61.960022
5,1,128,-49.23,-28.45,0.0,45.15,55.5
5,2,61,-44.8,-33.0,0.0,32.0,53.80001
5,3,195,-56.600002,-41.0,0.0,43.300003,69.06
8,0,278,-96.69,-50.6,0.0,76.0,97.920044
8,1,128,-93.49,-67.0,0.0,73.600006,95.30003
8,2,61,-83.2,-67.0,0.0,47.0,84.200005
8,3,195,-95.14,-63.3,0.0,77.600006,123.17999
10,0,278,-129.0,-70.049995,0.0,87.44998,116.60022
10,1,128,-116.38,-96.65,0.0,93.90001,126.250084
10,2,61,-101.2,-81.0,0.0,56.0,109.40001
10,3,195,-126.72,-78.0,0.0,103.20001,149.83997
