inventory,price
9400,190
9404,187
9406,185
9412,181
9418,176
9424,171
9429,167
9430,167
9435,163
9437,161
9441,158
9447,154
9449,153
9451,151
9453,150
9455,149
9459,146
9461,145
9465,142
9466,141
9467,141
9471,138
9472,138
9477,134
9478,134
9484,130
9488,128
9490,127
9494,124
9495,124
9496,123
9500,121
9501,121
9506,118
9507,117
9513,114
9517,112
9519,111
9521,110
9523,109
9525,108
9527,107
9529,106
9531,105
9532,105
9533,105
9534,104
9535,104
9536,103
9538,102
9539,102
9540,101
9541,101
9542,101
9543,100
9544,100
9545,99
9546,99
9547,99
9550,97
9552,97
9553,96
9554,96
9556,95
9557,95
9558,94
9559,94
9560,93
9561,93
9562,93
9563,92
9564,92
9565,92
9567,91
9569,90
9570,90
9571,90
9572,89
9573,89
9574,88
9575,88
9576,88
9577,88
9578,87
9579,87
9580,87
9581,86
9582,86
9583,86
9584,85
9585,85
9586,85
9587,84
9588,84
9590,84
9591,83
9592,83
9593,83
9594,82
9595,82
9596,82
9597,82
9598,81
9599,81
9600,81
9602,80
9603,80
9604,80
9605,80
9606,79
9607,79
9608,79
9609,79
9610,78
9611,78
9612,78
9613,78
9614,77
9615,77
9616,77
9617,77
9618,77
9619,76
9620,76
9621,76
9622,76
9623,76
9624,75
9625,75
9626,75
9627,75
9628,75
9629,75
9630,74
9631,74
9632,74
9633,74
9634,74
9635,74
9636,73
9637,73
9638,73
9639,73
9640,73
9641,73
9642,73
9643,72
9644,72
9645,72
9646,72
9647,72
9648,72
9649,72
9650,72
9651,71
9652,71
9653,71
9654,71
9655,71
9656,71
9657,71
9658,71
9659,71
9660,71
9661,70
9662,70
9663,70
9664,70
9665,70
9666,70
9667,70
9668,70
9669,70
9670,70
9671,70
9672,70
9673,70
9674,70
9675,70
9676,70
9677,69
9678,69
9679,69
9680,69
9681,69
9682,69
9683,69
9684,69
9685,69
9686,69
9687,69
9688,69
9689,69
9690,69
9691,69
9692,69
9693,68
9694,68
9695,68
9696,68
9697,68
9698,68
9699,68
9700,68
9701,68
9702,68
9703,68
9704,68
9705,68
9706,68
9707,68
9708,68
9709,68
9710,67
9711,67
9712,67
9713,67
9714,67
9715,67
9716,67
9717,67
9718,67
9719,67
9720,67
9721,67
9722,67
9723,67
9724,67
9725,67
9726,67
9727,66
9728,66
9729,66
9730,66
9731,66
9732,66
9733,66
9734,66
9735,66
9736,66
9737,66
9738,66
9739,66
9740,66
9741,66
9742,66
9743,65
9744,65
9745,65
9746,65
