obs_days,branch,n,q01,q05,q50,q95,q99
1,0,146,-14.1,-12.0,0.0,9.0,20.550003
1,1,188,-12.13,-8.65,0.0,12.0,15.0
1,2,163,-15.0,-12.0,0.0,9.0,12.0
1,3,165,-15.0,-12.0,0.0,9.0,12.0
2,0,146,-27.1,-22.0,0.0,14.75,17.550003
2,1,188,-16.39,-10.0,0.0,14.0,23.390015
2,2,163,-28.0,-19.699999,0.0,16.0,22.0
2,3,165,-34.08,-24.0,0.0,15.800003,22.080002
3,0,146,-42.65,-33.25,0.0,20.0,29.550003
3,1,188,-22.13,-15.0,0.0,18.649994,28.130005
3,2,163,-38.0,-23.699999,0.0,24.0,27.76001
3,3,165,-38.16,-29.8,0.0,23.800003,36.0
5,0,146,-58.2,-43.75,0.0,25.0,33.65001
5,1,188,-26.39,-20.0,0.0,25.649994,36.130005
5,2,163,-51.76,-31.9,0.0,27.899994,38.380005
5,3,165,-62.16,-52.8,0.0,27.0,30.720001
8,0,146,-67.65,-41.25,0.0,38.0,44.550003
8,1,188,-41.39,-31.65,0.0,33.0,49.0
8,2,163,-68.42,-50.8,0.0,34.0,41.0
8,3,165,-79.04,-59.4,0.0,35.800003,45.880005
10,0,146,-76.75,-42.5,0.0,39.0,53.100006
10,1,188,-51.39,-39.949997,0.0,30.649994,51.130005
10,2,163,-85.66,-57.6,0.0,35.0,47.80005
10,3,165,-87.76,-58.8,0.0,42.600006,58.160004
