obs_days_after_D12,branch,branch_name,n_train,residual_q01,residual_q05,residual_q50,residual_q95,residual_q99,residual_min,residual_max
1,0,B0 no Yarn at D12; sheep_age9p <= 3,141,-8.0,-8.0,0.0,6.0,9.0,-8.0,12.0
1,1,B1 no Yarn at D12; sheep_age9p >= 4,256,-4.0,-4.0,0.0,14.0,14.0,-4.0,16.0
1,2,B2 Yarn at D12; cumulative_yarn_pull <= 126,233,-15.72,-9.0,0.0,14.0,20.360000000000014,-21.0,24.0
1,3,B3 Yarn at D12; cumulative_yarn_pull > 126,32,-18.26,-13.3,0.0,18.749999999999996,22.19,-19.5,22.5
2,0,B0 no Yarn at D12; sheep_age9p <= 3,141,-14.0,-9.0,0.0,11.0,15.599999999999994,-14.0,18.0
2,1,B1 no Yarn at D12; sheep_age9p >= 4,256,-14.0,-14.0,0.0,9.0,10.0,-15.0,11.0
2,2,B2 Yarn at D12; cumulative_yarn_pull <= 126,233,-28.68,-17.0,0.0,19.0,26.720000000000027,-43.0,29.0
2,3,B3 Yarn at D12; cumulative_yarn_pull > 126,32,-36.5,-28.25,0.0,9.95,15.330000000000009,-36.5,17.5
3,0,B0 no Yarn at D12; sheep_age9p <= 3,141,-22.2,-15.0,0.0,11.0,13.199999999999989,-27.0,17.0
3,1,B1 no Yarn at D12; sheep_age9p >= 4,256,-16.0,-15.0,0.0,8.0,10.0,-23.0,16.0
3,2,B2 Yarn at D12; cumulative_yarn_pull <= 126,233,-37.0,-28.4,0.0,31.0,40.360000000000014,-55.0,54.0
3,3,B3 Yarn at D12; cumulative_yarn_pull > 126,32,-41.76,-36.8,0.0,14.249999999999996,27.35000000000002,-43.0,32.0
5,0,B0 no Yarn at D12; sheep_age9p <= 3,141,-38.4,-30.0,0.0,10.0,12.799999999999983,-40.0,15.0
5,1,B1 no Yarn at D12; sheep_age9p >= 4,256,-30.45,-17.0,0.0,8.0,13.799999999999955,-35.0,22.0
5,2,B2 Yarn at D12; cumulative_yarn_pull <= 126,233,-86.72,-66.8,0.0,42.0,53.08000000000004,-92.0,63.0
5,3,B3 Yarn at D12; cumulative_yarn_pull > 126,32,-72.66,-51.45,0.0,26.349999999999998,28.69,-77.0,29.0
8,0,B0 no Yarn at D12; sheep_age9p <= 3,141,-73.2,-42.0,0.0,10.0,12.599999999999994,-95.0,15.0
8,1,B1 no Yarn at D12; sheep_age9p >= 4,256,-45.05,-29.5,0.0,9.0,13.449999999999989,-67.0,25.0
8,2,B2 Yarn at D12; cumulative_yarn_pull <= 126,233,-137.36,-108.4,0.0,60.59999999999991,71.36000000000001,-173.0,81.0
8,3,B3 Yarn at D12; cumulative_yarn_pull > 126,32,-106.73,-95.0,0.0,36.699999999999996,46.21000000000001,-112.0,49.0
10,0,B0 no Yarn at D12; sheep_age9p <= 3,141,-91.2,-66.0,0.0,12.0,15.199999999999989,-145.0,17.0
10,1,B1 no Yarn at D12; sheep_age9p >= 4,256,-67.7,-35.25,0.0,9.0,13.449999999999989,-100.0,25.0
10,2,B2 Yarn at D12; cumulative_yarn_pull <= 126,233,-163.08,-125.8,0.0,69.0,81.72000000000003,-203.0,88.0
10,3,B3 Yarn at D12; cumulative_yarn_pull > 126,32,-139.21,-129.15,0.0,46.349999999999994,68.70000000000005,-142.0,78.0
