preset_id,day,shop1,shop2,shop3,variant,workers_total,cash_min_after_mandatory_finance,buy_sw_today,sw_owned_end,capacity_clamped,wheat_seed_count,next_day_hire_reserve,C,S,G,ST,CR,T,M
D5|BAKERY|LOW,5,BAKERY,,,LOW,8,953,False,False,False,32,33,2,1,3,0,0,0,12
D5|BAKERY|BASE,5,BAKERY,,,BASE,8,1243,False,False,False,31,33,2,1,4,0,0,0,12
D5|BAKERY|HIGH,5,BAKERY,,,HIGH,8,1243,False,False,True,31,33,2,1,4,0,0,0,12
D5|PIZZA_SHOP|LOW,5,PIZZA_SHOP,,,LOW,8,1313,False,False,False,28,33,4,1,1,0,0,4,12
D5|PIZZA_SHOP|BASE,5,PIZZA_SHOP,,,BASE,8,1693,False,False,False,26,33,5,1,1,0,0,4,12
D5|PIZZA_SHOP|HIGH,5,PIZZA_SHOP,,,HIGH,9,1773,False,False,False,24,33,5,1,1,0,0,6,12
D5|BRUNCH_SPOT|LOW,5,BRUNCH_SPOT,,,LOW,8,1383,False,False,False,25,33,2,1,2,8,0,0,12
D5|BRUNCH_SPOT|BASE,5,BRUNCH_SPOT,,,BASE,8,1663,False,False,False,23,33,2,1,3,8,0,0,12
D5|BRUNCH_SPOT|HIGH,5,BRUNCH_SPOT,,,HIGH,9,1953,False,False,False,22,33,2,1,4,8,0,0,12
D5|YARN_STORE|LOW,5,YARN_STORE,,,LOW,8,1353,False,False,False,32,33,2,3,1,0,0,0,12
D5|YARN_STORE|BASE,5,YARN_STORE,,,BASE,8,1833,False,False,False,30,33,2,4,1,0,0,0,12
D5|YARN_STORE|HIGH,5,YARN_STORE,,,HIGH,8,1833,False,False,True,30,33,2,4,1,0,0,0,12
D5|ICE_CREAM_SHOP|LOW,5,ICE_CREAM_SHOP,,,LOW,8,1513,False,False,False,28,33,4,1,1,4,0,0,12
D5|ICE_CREAM_SHOP|BASE,5,ICE_CREAM_SHOP,,,BASE,8,1893,False,False,False,26,33,5,1,1,4,0,0,12
D5|ICE_CREAM_SHOP|HIGH,5,ICE_CREAM_SHOP,,,HIGH,9,2073,False,False,False,24,33,5,1,1,6,0,0,12
D5|PET_CAFE|LOW,5,PET_CAFE,,,LOW,8,1053,False,False,False,22,33,2,1,3,0,10,0,12
D5|PET_CAFE|BASE,5,PET_CAFE,,,BASE,8,1093,False,False,False,18,33,2,1,3,0,14,0,12
D5|PET_CAFE|HIGH,5,PET_CAFE,,,HIGH,9,1133,False,False,False,14,33,2,1,3,0,18,0,12
D5|SMOOTHIE_SHOP|LOW,5,SMOOTHIE_SHOP,,,LOW,8,1513,False,False,False,28,33,4,1,1,4,0,0,12
D5|SMOOTHIE_SHOP|BASE,5,SMOOTHIE_SHOP,,,BASE,8,1893,False,False,False,26,33,5,1,1,4,0,0,12
D5|SMOOTHIE_SHOP|HIGH,5,SMOOTHIE_SHOP,,,HIGH,9,2073,False,False,False,24,33,5,1,1,6,0,0,12
D5|FARMERS_MARKET|LOW,5,FARMERS_MARKET,,,LOW,8,1373,False,False,False,22,33,2,1,3,4,6,0,12
D5|FARMERS_MARKET|BASE,5,FARMERS_MARKET,,,BASE,8,1553,False,False,False,20,33,2,1,3,6,6,0,12
D5|FARMERS_MARKET|HIGH,5,FARMERS_MARKET,,,HIGH,9,1733,False,False,False,18,33,2,1,3,8,6,0,12
D6|BAKERY|LOW,6,BAKERY,,,LOW,8,88,False,False,False,0,88,2,1,4,0,0,0,12
D6|BAKERY|BASE,6,BAKERY,,,BASE,8,88,False,False,False,0,88,2,1,4,0,0,0,12
D6|BAKERY|HIGH,6,BAKERY,,,HIGH,9,388,False,False,False,0,88,2,1,5,0,0,0,12
